,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Avg_Temp (°C),-0.361261952385294,-0.10534044114281875,-0.3026261760569187,-0.4144074700781279,0.09473541322758598,0.27489741024377873,0.0760894589021644,0.15109740566612911,0.0030943031907309693,-0.17604842814151606,-0.12856964549198915,-0.08870121733986086,0.17135495552941948,0.26524827965097725,0.5535931415899774,0.14257770714042556,1.0699273569359903e-21,4.786135974278693e-21
Max_Temp (°C),0.4628235657598374,-0.05793282838558321,0.11288741383775416,0.013542609980300982,-0.13102922877593862,-0.0033644912050331535,0.19182048256745252,0.03592978517170109,-0.4533844472030673,-0.4122733363917882,0.1161177994200085,0.2094690824595764,0.34936433236979797,-0.15774350073372312,0.3032449714745369,-0.20606255385342007,3.303729058558439e-17,1.0909431377846077e-16
Min_Temp (°C),-0.07852248241081738,-0.18068629284903195,-0.2561064534846919,-0.09171165270162411,0.052765410092837486,-0.11775091832292917,0.7996049646459079,-0.11236576874787824,0.11616530786266085,0.028955197644863016,-0.1559786708461831,0.21878896552346946,0.11150598020152526,-0.13505141904879742,-0.3076011020466613,0.08197475849634918,-2.2514744466386957e-17,-3.1131875320844017e-18
Precipitation (mm),0.39185184103290555,-0.18879472690478202,-0.07099130858950316,0.0118388352460508,0.21513956136834325,0.3683742362469333,-0.04613519716865159,0.04329184607405088,-0.03604167234368837,0.5612248008292156,-0.05223760350371666,-0.07708424132658948,0.4519074802721884,0.2633551246521588,-0.13106948412969666,-0.06279318384910396,-8.816247799481784e-18,-3.7820116994702464e-17
Humidity (%),-0.07676976423543162,0.570025948813483,0.1782508821850547,-0.012802719402649543,-0.1275026667832591,-0.054908659143901486,0.007816320297315358,-0.029304577422118255,-0.07350489402884304,-0.12153070386300632,-0.2325926053417136,0.3291358558506221,0.259205466184005,0.5423089029004934,-0.21843804559674984,0.1595110580030118,-8.165565109556247e-17,1.687102673731471e-17
Wind_Speed (m/s),-0.1499137336687462,0.24902743597889157,-0.22305510199819178,0.03831637443354061,0.581365236029751,0.06556398006777031,-0.08849099450926436,0.3290641951331212,-0.11129939844800628,0.04861078370373242,0.17228979215603335,0.48756569451570153,-0.10355026377811814,-0.15078396429524943,-0.038119183884767385,-0.2980356274037411,4.356706483786743e-18,7.527838083728751e-17
Solar_Irradiance (W/m²),0.43441354440915186,0.292618025020345,-0.004203823644823659,-0.2191335222411468,0.2479934766709858,0.2793490526333731,-0.03409042215042778,0.07783287425807009,0.17926276826422452,-0.22115448628144888,-0.12716871257703022,-0.08362168066527984,-0.10058360541834137,-0.3350732517832619,-0.08772133516829693,0.5445828936724048,7.419313828053612e-18,2.7032916031814463e-17
Cloud_Cover (%),-0.07403118823500222,-0.22619852253423023,0.09558735160817666,0.5333014345441488,0.037046436550445344,0.2790975082255712,0.05900638734176286,0.0598426549654394,-0.33373342764446506,0.037694266878124265,-0.48783735345627316,0.18077700143752165,-0.31161803528561505,0.024164283018080355,0.1407478642788984,0.250022709151397,-3.6268416837105085e-17,-3.1826878342012226e-17
CO2_Concentration (ppm),-0.3868922388707311,0.30151266186202447,0.04411756382958509,0.3041919958486523,0.14972081265547377,-0.00828254552739978,0.0906281369253453,0.009408488433518136,-0.26761251424782384,0.04556185046617922,0.03458206874743055,-0.4612084783026132,0.4593621218151684,-0.3462633399325546,-0.036740867370601435,0.11947890395421566,6.667667368523617e-17,-3.085467960254801e-18
Latitude,-0.04818913760346037,0.025682430995184805,-0.1906681006899715,0.4476328894207535,-0.3409206565631797,0.24458645159926792,-0.07414954925758277,0.09114246456012878,0.5571166423047968,-0.056234146395298966,0.18713166588068675,0.2956168827987983,0.28574474074327866,-0.14563944487277844,0.15539292479818817,0.08647231116006507,2.009067645162232e-17,1.1516570471642582e-16
Longitude,-0.0,-0.0,-0.0,0.0,1.1102230246251565e-16,0.0,-2.7755575615628914e-17,-0.0,-7.535205098774256e-18,5.551115123125783e-17,-9.71445146547012e-17,5.551115123125783e-17,-2.7755575615628914e-17,-0.0,0.0,1.3877787807814457e-17,0.995385465244393,-0.09595715491928584
Altitude (m),-0.0,-0.0,-8.673617379884035e-19,5.204170427930421e-18,1.6653345369377348e-16,-6.938893903907228e-17,-8.326672684688674e-17,6.938893903907228e-17,-2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17,-1.1102230246251565e-16,5.551115123125783e-17,-1.1102230246251565e-16,5.551115123125783e-17,-2.7755575615628914e-17,0.09595715491928578,0.9953854652443932
Proximity_to_Water (km),-0.14150565370212803,0.08119203459112816,-0.24882050951618523,-0.2829999439144673,-0.3230706523284231,0.21324495375159228,-0.2345238919650073,-0.46251216138340207,-0.35633241687610273,0.2759441411056886,0.055283176726497824,0.30143055879049907,-0.004186460423078222,-0.3091502848335436,-0.050592402591701044,0.1320257143848357,-1.898877210144438e-18,7.18277206538198e-17
Urbanization_Index,-0.04349924845754563,0.1467219108861141,0.3121960796888868,-0.1316287192227842,-0.2973066476529881,0.15662181526586239,0.3513019064898884,0.46861027831043706,-0.13026557864501137,0.36590450193721513,0.4064286055918648,0.01701303207310516,-0.21251005585243646,0.012613604702585754,0.09409372086965968,0.18803082397405718,4.6935745491010934e-17,-7.163687871378505e-17
Vegetation_Index,-0.2130614129005336,-0.06279005413083724,0.4666287509836238,-0.261402474296583,-0.11901486402943798,0.39575656090523076,-0.027171616165192775,0.12285575666494764,0.17287243907102892,-0.09092813006171377,-0.3644156931398987,0.03822357703384309,0.09793884548162438,-0.28051077289723386,-0.1924987546063893,-0.4245259068967014,1.852722594756879e-17,3.301641425834929e-17
ENSO_Index,-0.06766703293383833,-0.3523259272832149,-0.14536396133560375,-0.12000245443020802,-0.1831073860596547,-0.29979868073206434,-0.3222568199784448,0.5602273582836522,-0.16183750404606898,-0.07920506077355888,-0.10705480476345633,0.08954631213581618,0.2188218536514347,-0.09237081348294106,-0.3367188042832227,0.270010392241061,3.5475614213344466e-17,2.226735361727304e-17
Particulate_Matter (µg/m³),-0.2064130923638123,-0.34307491218985015,0.2389276140006863,0.03505722008181725,0.21702789966140684,0.32551982311333855,-0.02862148207846774,-0.21163204910463904,-0.07929417472277714,-0.34875733657851854,0.5053219381690328,0.06889255735936181,0.03748911006350151,0.19950846104715303,-0.3255925441424643,0.21787838988386088,-5.2741106978060966e-17,5.554005914158764e-17
Sea_Surface_Temp (°C),-0.08064021757512471,-0.1674974140762423,0.49063609639202005,-0.10576376052189079,0.2854270236268643,-0.3595131886532245,-0.07648552123192877,-0.16417173076002747,0.17330543502478285,0.2536150634091481,-0.03039279124552218,0.32131352731289203,0.22376991562968865,-0.15365007945993514,0.3460496018188405,0.2793889420228949,1.2471686754930625e-17,7.526250659050595e-17
